label,Rx39,Ry39,Rz39,Ry40,Rz40,Ry41,Rz41,Ry42,Rz44,Rz45,Rz46,Rz48,Rz49,Rz50,Rz52,Rz53,Rz54,Rz56,Rz57,Rz58
1,31.8542,-2.78343,-12.722,-30.3082,-42.6644,13.9189,5.22268,62.4411,-79.7324,-42.1014,-21.0507,7.45313,7.45313,7.45313,-74.8469,-74.8469,-74.8469,-64.8958,-64.8958,-64.8958
2,-7.16024,7.33237,-50.7127,-43.4727,-30.735,-12.4126,17.1491,26.7027,-86.1566,-38.576,-19.288,-71.7996,-71.7996,-71.7996,-3.6204,-3.6204,-3.6204,-83.8056,-83.8056,-83.8056
2,-4.09295,-7.40136,-29.9771,-5.42895,-31.273,63.6757,16.6111,10.6872,-93.3174,-73.1551,-36.5776,11.7066,11.7066,11.7066,-91.5697,-91.5697,-91.5697,11.262,11.262,11.262
4,10.0493,-14.103,-20.6613,-3.16503,-58.3033,68.2048,-10.4162,1.74504,16.8205,14.1577,7.07886,11.3535,11.3535,11.3535,11.7991,11.7991,11.7991,30.9951,30.9951,30.9951
3,23.2123,14.3247,-66.3547,-52.6782,-39.2207,-30.8213,8.66341,-4.83222,3.95887,-2.31403,-1.15701,-3.77615,-3.77615,-3.77615,-80.48,-80.48,-80.48,-96.6946,-96.6946,-96.6946
1,9.62699,28.131,-55.4942,-64.2791,-31.5309,-54.0256,16.3566,-13.1097,-82.9632,3.94094,1.97047,-78.2278,-78.2278,-78.2278,-60.3633,-60.3633,-60.3633,-54.055,-54.055,-54.055
4,36.0311,6.43663,-18.9585,-26.2311,-25.9551,22.0725,21.932,4.14346,-116.619,172.727,86.3633,12.094,12.094,12.094,18.6254,18.6254,18.6254,20.6055,20.6055,20.6055
2,0.565822,3.45511,-36.5138,-4.34337,-29.5523,65.8473,18.3317,9.15685,-106.788,-35.6318,-17.8159,16.3729,16.3729,16.3729,16.1429,16.1429,16.1429,-23.946,-23.946,-23.946
1,9.08484,-10.1232,-44.005,-22.3111,-63.202,29.9128,-15.3144,-10.1604,-100.038,-14.5213,-7.26067,-69.0381,-69.0381,-69.0381,-5.13772,-5.13772,-5.13772,-49.1597,-49.1597,-49.1597
2,1.46989,21.7851,-63.2331,-11.0193,-16.3696,52.4972,31.5143,11.7548,-127.498,-88.7462,-44.3731,-40.9556,-40.9556,-40.9556,1.68882,1.68882,1.68882,27.1416,27.1416,27.1416
